Starting net.minecraft.server.Main
[01:58:21] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:58:25] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:58:25] [ServerMain/INFO]: Reloading ResourceManager: Default
[01:58:29] [Worker-Main-6/INFO]: Loaded 7 recipes
[01:58:32] [Worker-Main-6/INFO]: Loaded 1141 advancements
[01:58:42] [Server thread/INFO]: Starting minecraft server version 1.18
[01:58:42] [Server thread/INFO]: Loading properties
[01:58:42] [Server thread/INFO]: Default game type: SURVIVAL
[01:58:42] [Server thread/INFO]: Generating keypair
[01:58:42] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Bad file descriptor
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:276) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:270) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:313) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:177) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:162) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at acj$1.run(SourceFile:101) [server-1.18.jar:?]
[01:58:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:58:43] [Server thread/INFO]: Using epoll channel type
[01:58:44] [Server thread/INFO]: Preparing level "world"
[01:58:45] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:58:52] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:53] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:54] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:55] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:55] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:56] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:58:56] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:57] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:57] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:58] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:58:59] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:58:59] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:59:00] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:59:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:59:01] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:59:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:59:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:59:02] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:59:03] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:59:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:59:04] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:59:04] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:59:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[01:59:05] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[01:59:06] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:59:06] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[01:59:07] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[01:59:07] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[01:59:08] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[01:59:08] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[01:59:09] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[01:59:09] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[01:59:10] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[01:59:10] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[01:59:11] [Worker-Main-6/INFO]: Preparing spawn area: 1%
